  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.022322'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.020771'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.043015'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.022931'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.047083'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.025023'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.016285'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015850'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.017406'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.011886'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.014895'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.022508'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.017609'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.019914'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.014815'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.020862'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.022297'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.012884'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015666'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.012836'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.016079'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.020729'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.013801'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.018557'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015695'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.018867'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.012967'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.027895'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.027217'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.017189'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.015464'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.016768'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.015230'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.012693'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.023521'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.036072'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.022590'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.017190'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Elapsed time = 0:00:00.015583'
  message: 'startup-script: 2026-04-01 18:59:28 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29.889 INFO - Worker #1: Exiting'
  message: 'startup-script: 2026-04-01 18:59:29.889 INFO - Worker #1: Completed task
  message: 'startup-script: 2026-04-01 18:59:29 - 00---------------------------------------------'
  message: 'startup-script: 2026-04-01 18:59:29 - 00---------------------------------------------'
  message: 'startup-script: 2026-04-01 18:59:29 - 00---------------------------------------------'
  message: 'startup-script: 2026-04-01 18:59:29 - 00---------------------------------------------'
  message: 'startup-script: 2026-04-01 18:59:29 - 00---------------------------------------------'
  message: 'startup-script: 2026-04-01 18:59:29 - 00---------------------------------------------'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015501'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015447'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.033843'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.021235'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015866'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015498'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.013782'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.019831'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.016769'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.013150'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.018317'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.022318'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.012986'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.016892'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.025626'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.012385'
